_id,doc_id,name,position,stars,department,hospital,speciality,register_time,articles
ObjectID(au25),ObjectID(au25),沈思思,主治医师,0,内分泌科,浙江大学医学院附属第二医院,浙江大学医学院临床医学八年制毕业，擅长糖尿病、甲状腺等内分泌疾病,2013/10/13,Object(a17)
ObjectID(au26),ObjectID(au26),李恒元,主治医师,0,骨科,浙江大学医学院附属第二医院,浙大博士，西澳大学博士后，擅长颈肩痛、腰腿痛、脚踝扭伤和骨肿瘤的诊治，美国加州大学交流经历，发表多篇论文，承担国家课题。,2019/10/26,"['Object(a18)', 'Object(a19)']"
ObjectID(au27),ObjectID(au27),潘驰,主治医师,1,肿瘤外科,浙江大学医学院附属第二医院,肿瘤学博士，肿瘤外科专业主治医师，擅长乳腺良恶性肿瘤的诊治，乳腺肿瘤微创旋切术、乳腺肿块区段切除术（隐蔽性切口美容手术）,2020/12/20,Object(a20)
ObjectID(au28),ObjectID(au28),史伟萍,主治医师,0,口腔科,浙江大学医学院附属第二医院,5年三甲医院工作经验。擅长种植牙，镶牙，拔牙，智齿，牙疼，蛀牙，口臭，口腔溃疡，美白，牙齿矫正，牙龈出血，烤瓷牙，活动牙,2018/3/12,[]
ObjectID(au29),ObjectID(au29),赵菁,主治医师,0,肿瘤内科,浙江大学医学院附属第二医院,毕业于浙江大学医学院临床医学七年制，8年临床工作经验，擅长乳腺癌，结肠癌，胃癌，肺癌等恶性肿瘤的综合诊疗。,2012/2/15,"['Object(a21)', 'Object(a22)']"
ObjectID(au30),ObjectID(au30),闵捷,主治医师,0,放射科,浙江大学医学院附属第二医院,从事放射科临床工作十余年，熟悉各系统影像诊断，擅长肺癌影像诊断和介入治疗。辐射防护建议。,2014/1/13,"['Object(a23)', 'Object(a24)']"
ObjectID(au31),ObjectID(au31),沈智伟,医师,0,神经外科,浙江大学医学院附属第二医院,本人神经外科博士毕业，目前就职于浙江大学医学院附属第二医院神经外科,2017/7/12,"['Object(a25)', 'Object(a26)']"
ObjectID(au32),ObjectID(au32),朱焕兵,主治医师,0,肝胆外科,浙江大学医学院附属第二医院,博士期间赴美国约翰霍普金斯大学留学，研究肝胆胰外科的诊治进展。擅长处理肝炎肝硬化、胆结石、胆囊息肉、胰腺炎、肿瘤等疾病。,2018/12/29,Object(a27)
ObjectID(au33),ObjectID(au33),杨斌,主治医师,0,肝胆外科,浙江大学医学院附属第二医院,丁香医生同行评审业内专家，擅长胆囊结石胆囊炎、肝炎、肝病、甲状腺结节、胃病、静脉曲张、脂肪瘤、疝气等,2016/7/2,Object(a28)
ObjectID(au34),ObjectID(au34),程海英,副主任医师,0,小儿内科,浙江大学医学院附属第二医院,儿童常见病多发病诊治，尤其儿童内分泌消化呼吸系统疾病诊治,2016/11/3,[]
ObjectID(au35),ObjectID(au35),严晓波,副主任医师,0,骨肿瘤科,浙江大学医学院附属第二医院,毕业于浙江大学，长期从事良恶性骨肿瘤的诊治，骨转移性肿瘤的治疗。曾多次前往美国斯坦福大学骨肿瘤科，美国安德森肿瘤中心骨肿瘤科进修学习。,2013/3/17,Object(a29)
ObjectID(au36),ObjectID(au36),赵鲁峰,主治医师,2,胸外科,浙江大学医学院附属第二医院,浙二胸外科医师 主要诊治肺、食管、纵隔、肋骨、手汗症疾病。,2021/5/29,Object(a30)
ObjectID(au37),ObjectID(au37),金梦绮,医师,0,全科,浙江大学医学院附属邵逸夫医院,擅长常见病、体检报告咨询、消化系统疾病、血液系统疾病。,2014/12/10,"['Object(a31)', 'Object(a32)']"
ObjectID(au38),ObjectID(au38),王瑶瑶,主治医师,0,皮肤科,浙江大学医学院附属邵逸夫医院,博士，主治医师，美容主诊医师，擅长：痤疮，皮炎，湿疹，脚癣，甲癣，银屑病，尖锐湿疣，雀斑，黄褐斑，脱毛。,2012/3/11,[]
ObjectID(au39),ObjectID(au39),钟滢,主治医师,0,骨科,浙江省中医院,中西医结合骨关节病诊疗经验丰富。省医药卫生专家库专家。主持省部级科研项目，发表论文十余篇，参编多项全国指南和骨科教材。,2018/12/6,"['Object(a33)', 'Object(a34)']"
ObjectID(au40),ObjectID(au40),范一宏,主任医师,0,消化内科,浙江省中医院,擅长炎症性肠病和功能性胃肠病诊治及粪菌移植，擅长消化道各种内镜诊治，浙江省炎症性肠病学组副组长，美国克利夫兰访问学者。,2015/9/7,"['Object(a35)', 'Object(a36)']"
ObjectID(au41),ObjectID(au41),凌奕清,主治医师,0,骨科,浙江中医药大学附属第一医院,浙江大学医学院博士，研究方向脊柱微创外科。擅长颈腰椎间盘突出的微创治疗，复杂高龄老年腰腿痛、骨折的综合治疗。,2020/5/10,Object(a37)
ObjectID(au42),ObjectID(au42),陈玉燕,主任医师,0,小儿内科,浙江中医药大学附属第一医院,主任医师，硕导，从事儿科临床30年，擅长中西结合诊治抽动、多动、癫痫、学习障碍、铅中毒、睡眠障碍、行为异常、慢性咳嗽等。,2014/11/13,Object(a38)
ObjectID(au43),ObjectID(au43),木明江·依沙克,主治医师,0,骨科,浙江省中医院,"擅长脊柱病,关节病,颈肩腰腿痛等骨科疾病等诊断处理。尤其对腰椎间盘突出，腰椎管狭窄，颈椎病，腰椎滑脱，慢性腰痛等脊柱疾病",2014/12/10,[]
ObjectID(au44),ObjectID(au44),高真真,主治医师,0,康复科,浙江省中医院,"从业5年，医学硕士，长期致力于颈肩腰腿痛、心脑血管疾病及重症患者的中西医结合康复。
",2016/12/4,Object(a39)
ObjectID(au45),ObjectID(au45),戎溪清,医师,0,心血管内科,浙江省中医院,心血管内科常见病，心血管危重症疾病，冠心病、高血压、心律失常、心力衰竭等,2014/3/30,[]
ObjectID(au46),ObjectID(au46),沈景,主治医师,0,骨科,浙江省中医院,从事骨科事业11年，擅长肩膝关节运动损伤，交叉韧带、半月板损伤，肩袖损伤，股骨头缺血性坏死等。,2014/9/17,Object(a40)
ObjectID(au47),ObjectID(au47),李波,主治医师,0,心血管内科,浙江省中医院,09年毕业于浙江大学医学院，从事心血管内科工作，擅长冠心病的诊治和防治，尤其危重病人的抢救,2014/5/20,"['Object(a41)', 'Object(a42)']"
ObjectID(au48),ObjectID(au48),谢俊明,主任医师,0,泌尿外科,浙江省中医院,男/女性性功障碍，前列腺疾病，膀胱功能障碍，男性不育证，体质保健（膏方），男女性私密整形以及显微手术。,2020/3/20,"['Object(a43)', 'Object(a44)']"
ObjectID(au49),ObjectID(au49),金剑虹,主任医师,0,内分泌科,杭州市中医院,擅长对糖尿病及其并发症、甲状腺疾病、痛风、多囊卵巢综合症、肥胖症、骨质疏松等内分泌代谢性疾病的诊断与治疗。,2014/8/28,Object(a45)
ObjectID(au50),ObjectID(au50),叶迅,主任医师,0,内分泌科,杭州市中医院,"从事临床20余年，临床经验丰富。2003年获浙大内分泌硕士后在杭州市中医院内分泌科工作至今，擅长内分泌代谢疾病诊治。
",2013/3/25,"['Object(a46)', 'Object(a47)']"
ObjectID(au51),ObjectID(au51),钟永忠,主治医师,0,肾脏内科,杭州市中医院,男，毕业于南京大学(东部战区总医院，原南京军区南京总医院肾脏病研究所)毕业后至杭州市中医院肾内科工作至今。,2018/9/13,[]
ObjectID(au52),ObjectID(au52),贾晓玲,主治医师,0,儿童口腔科,杭州市中医院,"浙江省口腔医学会儿童专业委员会委员，浙大七年制硕士，擅长口腔各种龋病，牙髓病,牙外伤，阻生齿及早期错颌畸形矫正等治疗。",2019/1/3,[]
ObjectID(au53),ObjectID(au53),李小燕,主任医师,0,中医眼科,杭州市中医院,主任医师、医学美容主诊医师。西学中。主攻老年性眼病，擅长疑难杂症的中西医诊治。包括视疲劳、屈光、眼底病、视觉功能障碍,2020/8/27,Object(a48)
ObjectID(au54),ObjectID(au54),张骁,副主任医师,4,泌尿外科,杭州市中医院,本人毕业于浙江大学医学院，从事泌尿外科临床工作15年，对泌尿外科以及男科，生殖系统的常见病，多发病有非常深厚的治疗经验。,2021/3/16,Object(a49)
ObjectID(au55),ObjectID(au55),徐鑫,医师,0,口腔特诊科,杭州市中医院,医生履历,2020/3/17,[]
ObjectID(au56),ObjectID(au56),孙超超,主治医师,0,妇科,杭州市中医院,浙江大学硕士。 从事妇产科（西医）工作13年。 擅长妇科（妇科炎症，良性肿瘤，妇科内分泌）、产科、计划生育科等疾病诊治。,2019/8/28,"['Object(a50)', 'Object(a51)']"
ObjectID(au57),ObjectID(au57),吕庆平,主治医师,0,神经外科,杭州市红十字会医院,神经外科硕士，法国Grenoble Alpes大学医院访问学者，师从emmanuel gay教授(车神舒马赫主刀医生)。,2014/11/19,[]
ObjectID(au58),ObjectID(au58),齐齐,主治医师,0,结核病科,杭州市红十字会医院,擅长各类结核病的诊治与气管支气管结核的气管镜下介入诊疗,2015/10/4,[]
ObjectID(au59),ObjectID(au59),邹建军,主治医师,0,耳鼻咽喉科,杭州市红十字会医院,过敏性鼻炎，慢性鼻窦炎，腺样体，耳聋耳鸣，慢性中耳炎，儿童耳鼻咽喉疾病，尤其儿童鼾症，过敏原鼻炎，儿童鼻窦炎，鼻炎的诊疗,2019/7/29,[]
ObjectID(au60),ObjectID(au60),许琦彬,副主任医师,0,眼科,杭州市红十字会医院,精于白内障、斜视、近视、近视激光、OK镜、小儿眼科、眼底病等。眼科社会公益使者，互联网科普专家。公众号eyedrxqb,2013/4/15,Object(a52)
ObjectID(au61),ObjectID(au61),徐士福,主治医师,0,儿科,杭州市红十字会医院,硕士研究生，主治医师，在浙江大学附属儿童医院工作4年，从事儿科工作8年，擅长儿童呼吸系统疾病诊治和支气管镜操作。,2020/9/28,Object(a53)
ObjectID(au62),ObjectID(au62),陶亦斌,主治医师,0,麻醉科,杭州市第一人民医院,老牌医学院校麻醉专业硕士，现就职于市级三甲医院麻醉科。擅长各科疾病的术前评估，舒适化医疗。理论知识扎实，经验丰富。,2017/2/15,Object(a54)
ObjectID(au63),ObjectID(au63),吕晓文,主治医师,0,小儿内科,杭州市第一人民医院,主要擅长小儿一般内科常见病，新生儿常见病及多发病诊治。2015年南京大学硕士毕业，正式踏入儿科工作岗位以来工作勤勤恳恳。,2015/6/2,[]
ObjectID(au64),ObjectID(au64),王雅卉,主治医师,0,妇科,杭州市第一人民医院,关于妇科疾病有丰富的整治经验，一线临床专家，尤其对阴道炎，月经不调，HPV感染等经验丰富。,2012/4/27,"['Object(a55)', 'Object(a56)']"
ObjectID(au65),ObjectID(au65),高月秋,副主任医师,0,耳科,杭州市第一人民医院,擅长耳鼻咽喉科常见疾病诊治，如变应性鼻炎，儿童鼾症、扁桃体腺样体肥大的早期干预以及慢性中耳炎的手术治疗。,2014/10/18,[]
ObjectID(au66),ObjectID(au66),王玲敏,主治医师,0,妇产科,杭州师范大学附属医院,"温州医科大学毕业，8年三甲医院妇产科专业工作经验。能熟练进行妇产科常见病、多发疾的诊治工作，欢迎向我咨询！
",2017/3/18,"['Object(a57)', 'Object(a58)']"
ObjectID(au67),ObjectID(au67),忻月华,主治医师,2,白内障,杭州师范大学附属医院,浙江大学医学院眼科学硕士研究生毕业，杭州师范大学附属医院眼科工作至今，杭州市少年儿童爱眼护眼专家讲师团专家讲师,2021/2/21,[]
ObjectID(au68),ObjectID(au68),陈宇超,医师,0,神经科,杭州师范大学附属医院,福建医科大学硕士毕业，熟练掌握神经科常见病诊治，较擅长如偏头痛，头晕，睡眠障碍，脑血管病，颈椎病，小脑萎缩等疾病。,2016/4/23,"['Object(a59)', 'Object(a60)']"
ObjectID(au69),ObjectID(au69),徐礼亮,主治医师,0,整形科,杭州师范大学附属医院,山东大学硕士，有10年三甲医院工作经验。擅长体表肿物整形切除，重脸术、隆鼻术，面部美容注射，线雕，烧伤，慢性溃疡创面修复,2015/1/6,"['Object(a61)', 'Object(a62)']"
ObjectID(au70),ObjectID(au70),张宁,主治医师,0,消化内科,杭州师范大学附属医院,肺炎，肺部感染，消化道出血，溃疡，肝炎肝硬化，心梗，心源性休克，肺部感染，各种急危重症疾病的诊治与治疗,2018/3/29,Object(a63)
ObjectID(au71),ObjectID(au71),高缨,主任医师,0,妇产科,杭州师范大学附属医院,主任医师，从事妇产科临床工作30年，擅长产科的危急症抢救和妇科的腹腔镜微创手术。主持完成科研项目6项，发表论文30余篇。,2018/3/22,[]
ObjectID(au72),ObjectID(au72),施振华,副主任医师,0,神经外科,杭州师范大学附属医院,医学硕士，毕业于上海复旦大学，曾赴美国进修数月，工作10年,2014/4/14,"['Object(a64)', 'Object(a65)']"
ObjectID(au73),ObjectID(au73),叶晓平,主治医师,0,肝病科,杭州师范大学附属医院,擅长感染性疾病，肝病等的诊治工作,2015/4/21,"['Object(a66)', 'Object(a67)']"
ObjectID(au74),ObjectID(au74),张晓静,主治医师,0,小儿内科,浙江大学医学院附属儿童医院,"高年资主治医生，从事临床工作多年，擅长呼吸，消化，皮肤等系统的儿科常见病、多发病，如咳嗽，腹泻，便秘，皮疹等等
",2016/11/17,Object(a68)
ObjectID(au75),ObjectID(au75),鲍毓,主任医师,0,儿科,浙江大学医学院附属儿童医院,儿科学博士，曾在美国罗马琳达大学进修学习。擅长儿科常见病，如呼吸道感染、腹泻、胃肠炎、消化不良、尿路感染、过敏性紫癜等。,2018/6/30,"['Object(a69)', 'Object(a70)']"
ObjectID(au76),ObjectID(au76),胡玲玲,主治医师,0,小儿内科,浙江大学医学院附属儿童医院,从事小儿内科临床工作10年，在浙江大学附属儿童医院工作7年，擅长新生儿科相关疾病及小儿普通内科疾病,2019/10/6,[]
ObjectID(au77),ObjectID(au77),叶璟,副主任医师,1,小儿内科,浙江大学医学院附属儿童医院,副主任医师，博士。三甲儿童医院从事儿科临床工作二十余年，对各种儿内科常见疾病，如发热，咳嗽，腹泻，肺炎等诊治有丰富经验。,2021/3/7,"['Object(a71)', 'Object(a72)']"
ObjectID(au78),ObjectID(au78),蒋步春,主治医师,0,小儿内科,浙江大学医学院附属儿童医院,16年开始在浙大儿院儿童内科工作，擅长儿童发热咳嗽腹泻呕吐腹痛等疾病诊治，熟悉急性上呼吸道感染，支气管炎，肺炎，肠炎诊治,2015/9/16,Object(a73)
ObjectID(au79),ObjectID(au79),李晓静,主治医师,0,儿童口腔科,浙江大学医学院附属儿童医院,浙江大学医学院口腔临床医学硕士毕业，五年三甲医院口腔科工作经验。擅长儿童口腔常见牙体疾病粘膜疾病的诊治，地包天早期矫正。,2020/9/17,[]
ObjectID(au80),ObjectID(au80),章立峰,副主任医师,0,小儿外科,浙江大学医学院附属儿童医院,博士，从事儿外科临床工作十余年，擅长疝气，鞘膜积液，胆道，巨结肠，肛门，颈部肿块，包皮，阑尾炎等手术，尤其擅长微创手术。,2017/9/26,[]
ObjectID(au81),ObjectID(au81),胡波飞,主治医师,0,小儿感染科,浙江大学医学院附属儿童医院,任职于浙江大学医学院附属儿童医院，全国最佳医院专科排名前列。擅长儿童病毒感染性疾病、百日咳、脑膜炎、儿童肺炎、川崎病等。,2014/4/19,[]
ObjectID(au82),ObjectID(au82),王晓豪,副主任医师,0,小儿泌尿科,浙江大学医学院附属儿童医院,熟练掌握小儿泌尿外科常见疾病诊治，如隐睾、尿道下裂、隐匿阴茎、斜疝、肾积水、输尿管扩张、包茎等，擅长腔镜微创手术。,2014/3/24,"['Object(a74)', 'Object(a75)']"
ObjectID(au83),ObjectID(au83),米芋枚,主治医师,0,小儿感染科,浙江大学医学院附属儿童医院,从事儿科工作11年，擅长各种小儿内科疾病，尤其对感染性疾病比如呼吸道感染，胃肠道感染，消化道感染有丰富的临床经验。,2017/7/11,"['Object(a76)', 'Object(a77)']"
ObjectID(au84),ObjectID(au84),汪洪姣,副主任医师,0,小儿感染科,浙江大学医学院附属儿童医院,擅长感染性疾病诊治，1995在温州医学院附属育英儿童医院从事儿童感染科工作，2013年调入浙江大学附属儿童医院感染科,2014/9/13,Object(a78)
ObjectID(au85),ObjectID(au85),成智文,主治医师,0,小儿感染科,浙江大学医学院附属儿童医院,中国医科大学毕业，从事儿内科医生多年，现就职于浙江大学医学院附属儿童医院。擅长各常见病。如咳嗽，腹泻，便秘，黄疸等。,2020/6/3,"['Object(a79)', 'Object(a80)']"
ObjectID(au86),ObjectID(au86),杨丽君,主治医师,0,小儿内科,浙江大学医学院附属儿童医院,擅长小儿内科常见病如上呼吸道感染，肺炎，腹泻等，儿童保健。,2012/5/15,[]
ObjectID(au87),ObjectID(au87),王高良,主治医师,0,小儿感染科,浙江大学医学院附属儿童医院,浙江大学医学院附属儿童医院感染科主治医生，从业15年，浙江省儿童感染学组委员,2016/10/25,Object(a81)
ObjectID(au88),ObjectID(au88),沈晓霞,医师,0,儿科,浙江大学医学院附属儿童医院,"从事儿内科临床多年，擅长儿科常见病呼吸、消化、皮肤相关的诊断和治疗，擅长新生儿疾病特别是早产儿营养呼吸等生长发育。
",2012/1/7,Object(a82)
ObjectID(au89),ObjectID(au89),朱履昌,主治医师,0,小儿内科,浙江大学医学院附属儿童医院,浙江大学医学院附属儿童医院工作多年，对儿内科常见疾病有深刻的理解和研究，熟练掌握儿科急症重症危重症的抢救和治疗措施。,2014/11/6,Object(a83)
ObjectID(au90),ObjectID(au90),李雪静,主治医师,2,小儿呼吸科,浙江大学医学院附属儿童医院,儿科主治医生，从事临床工 作多年，擅长儿科常见病、多发病的诊断、治疗及护理。,2020/10/11,[]
ObjectID(au91),ObjectID(au91),余金丹,副主任医师,0,小儿消化科,浙江大学医学院附属儿童医院,浙江大学医学院附属儿童医院副主任医师，从事儿科工作13年，擅长小儿内科，消化科疾病诊治，尤其胃肠道，肝胆胰疾病和营养治疗，如急慢性腹泻，腹痛，呕吐，便秘，黄疸等,2014/5/22,"['Object(a84)', 'Object(a85)']"
ObjectID(au92),ObjectID(au92),赵一俊,主治医师,0,小儿泌尿科,浙江大学医学院附属儿童医院,毕业于南京医科大学临床七年制，从事小儿泌尿外科工作近10年，擅长多种小儿泌尿外科疾病诊治。,2019/8/13,"['Object(a86)', 'Object(a87)']"
ObjectID(au93),ObjectID(au93),王梦媛,主治医师,0,小儿内科,浙江大学医学院附属儿童医院,浙江大学医学院七年制硕士毕业，熟悉儿科常见病诊治，2019年曾赴以色列施耐德国家儿童医学中心进修。,2019/1/10,[]
ObjectID(au94),ObjectID(au94),杨霞,主治医师,0,小儿消化科,浙江大学医学院附属儿童医院,三甲儿童医院5年以上工作经历，擅长儿童腹泻，便血，牛奶蛋白过敏，消化性溃疡，黄疸及各种胆胰疾病诊治,2015/10/8,[]
ObjectID(au95),ObjectID(au95),李薇,主治医师,0,皮肤科,浙江大学医学院附属儿童医院,主治医师，浙江大学医学院附属儿童医院，皮肤性病学硕士研究生，毕业至今从事皮肤科临床工作，擅长儿童皮肤病的诊治。,2014/8/19,"['Object(a88)', 'Object(a89)']"
ObjectID(au96),ObjectID(au96),杨昕,主治医师,0,小儿内科,浙江大学医学院附属儿童医院,儿科学博士，有丰富的临床诊疗经验，擅长儿科常见病尤其是呼吸系统疾病的诊断及治疗,2016/6/24,[]
ObjectID(au97),ObjectID(au97),王珍珍,主治医师,0,小儿内科,浙江大学医学院附属儿童医院,擅长小儿内科各种疾病，如肺炎支气管炎，感冒，肠炎，过敏性紫癜，传单，川崎，荨麻疹，及神经内科如热性惊厥，癫痫，抽动，脑炎,2013/10/28,[]
ObjectID(au98),ObjectID(au98),袁金娜,主治医师,0,小儿内分泌科,浙江大学医学院附属儿童医院,毕业于浙江大学，熟悉内科疾病诊治，如肺炎、腹泻、湿疹等。专攻儿童内分泌，擅长矮小、性早熟、糖尿病、甲状腺疾病等诊治。,2019/2/13,"['Object(a90)', 'Object(a91)']"
ObjectID(au99),ObjectID(au99),严伟玲,主治医师,0,小儿内科,浙江大学医学院附属儿童医院,本人从事临床工作7年余，对儿童呼吸道感染，发热，疱疹性咽峡炎，手足口，肺炎，贫血，血小板减少等有较丰富的临床经验。,2013/3/18,"['Object(a92)', 'Object(a93)']"
ObjectID(au100),ObjectID(au100),吴玲玲,主治医师,0,儿童保健科,浙江大学医学院附属儿童医院,浙江大学医学院博士，8年三甲医院工作经验，擅长儿童发育相关疾病：早产儿、语言及运动发育迟缓、自闭症、矮小、性早熟及肥胖。,2012/3/25,Object(a94)
ObjectID(au101),ObjectID(au101),黄艳,主治医师,0,风湿科,浙江医院,2012年开始接触风湿病，专业为风湿病临床研究，擅长痛风、类风湿、强直等诊治。希望尽自己一份力量，为风湿患者减轻病痛。,2020/8/1,"['Object(a95)', 'Object(a96)']"
ObjectID(au102),ObjectID(au102),安忠诚,主治医师,0,骨科,浙江中医药大学附属第二医院,毕业于新疆医科大学，主要从事脊柱及创伤骨科相关疾病的诊断治疗工作，目前发表论文近10篇。 门诊时间：每周三上午,2014/12/17,[]
ObjectID(au103),ObjectID(au103),曾晗冰,主治医师,0,骨科,浙江中医药大学附属第二医院,2010年毕业于温州医科大学，骨外科硕士学位，2020年获得香港大学工商管理硕士学位，擅长四肢创伤和脊柱疾患的微创治疗。,2018/11/10,"['Object(a97)', 'Object(a98)']"
ObjectID(au104),ObjectID(au104),辛锡林,主治医师,0,神经科,浙江中医药大学附属第二医院,从事神经内科疾病诊疗工作5年，能熟练准确处理神经内科常见疾病，对一些疑难杂症及常见内科疾病也有一定的经验。,2016/8/5,"['Object(a99)', 'Object(a100)']"
ObjectID(au105),ObjectID(au105),周佳君,副主任医师,0,神经科,杭州市西溪医院,浙江大学医学院毕业，对神经科常见病多发病具有丰富临床诊疗经验。主持省市级课题多项，国家核心及英文sci期刊发表文章多篇。,2013/11/24,Object(a101)
